-741,-214,308
-1724,951,156
-1325,-279,-88
-1525,-1170,-47
-1222,680,-261
-1279,1481,41
-1294,-768,-359
-1203,-81,-203
188,-548,224
-523,-304,-4
-858,37,-73
-195,-993,-21
457,-222,548
350,-1173,207
1140,-455,-155
1243,-949,333
1080,-847,-18
1136,-1376,148
1090,975,-117
1256,407,-188
1057,-1534,160
1849,-477,-154
1911,-536,-156
963,-553,6180
851,-1158,-232
507,604,-284
551,-317,109
-314,375,-392
35,421,-150
516,1100,-73
-231,-1452,-269
-122,1391,-223
-765,1015,133
-312,458,58
-978,1907,-189
-1321,164,106
-574,657,304
-1532,-591,-256
-1854,907,12
-1438,134,395
-1478,-361,122
-1072,1694,163
-1554,-244,-40
-885,7,-160
-687,-158,229
-932,-605,131
-451,425,-10
-503,591,-93
704,283,-350
42,-1888,31
364,806,-138
412,-280,-26
838,-973,134
1124,483,164
1508,450,144
1209,-834,451
1411,1978,233
1074,-968,-149
1240,-1386,-164
2261,-923,466
1652,1137,-133
972,-141,-9
637,-298,349
547,-50,343
611,-477,-11
388,-552,48
-96,-513,-327
-513,566,-182
49,816,-73
-482,-844,-1
-952,191,-65
-1104,631,30
-1365,-865,439
-2220,-402,93
-1400,-830,62
-1809,-1033,0
-1799,81,-34
-1658,-589,247
-1172,505,-198
-1628,-24,-25
-1556,330,-219
-750,-234,17
-505,-508,24
-787,-73,184
-85,-4,240
-87,-565,133
344,341,324
121,597,318
981,126,63
1303,1371,75
1317,-506,-387
1445,416,64
260,-327,-1
1545,188,-338
1491,-664,-86
1444,892,191
1245,141,-248
1356,954,259
1330,-1013,95
959,-395,-46
701,-714,-28
987,-426,166
46,-554,-286
436,-96,408
-74,-14,-163
-619,-33,-153
-705,-444,244
-1116,150,158
-835,700,265
-1102,-722,209
-1506,1,75
-1765,-59,-255
-1397,375,-95
-1211,-51,40
-1500,-13,-3
-1266,-793,-411
-1390,17,209
-1106,-738,346
-1030,413,293
-643,-83,-204
-953,32,87
-60,-713,-425
-69,643,338
361,554,-388
398,689,82
828,1782,233
621,-42,258
1483,963,69
766,-99,-285
1080,315,-20
1537,292,-54
1938,212,74
1571,527,198
1360,-243,132
912,33,424
1149,428,132
1032,1398,-78
1347,-674,326
804,-1445,-63
-81,-387,56
735,72,36
-246,140,-459
-642,74,55
-175,946,58
-855,781,-42
-1148,-39,-28
-1140,-376,-257
-1086,-277,16
-1136,-285,301
-1900,-180,-35
-899,-1258,-104
-1182,-369,-122
-1506,-340,403
-1523,-151,-271
-1417,-203,169
-905,538,22
-926,-426,384
-729,-351,262
-10,434,-18
109,-188,-308
135,173,286
720,535,292
1142,338,-221
614,200,149
945,-157,-160
1560,546,-155
1608,140,-322
1534,-404,187
1847,-121,54
1161,-975,99
991,-769,290
1079,-1506,134
1243,-544,117
799,1068,150
694,-445,-213
325,630,-7
192,-3,-241
-174,-560,-180
-17,1071,-18
-139,466,212
-762,-1401,412
-902,833,5783
-1212,-860,35
-1047,-142,-14
-1313,534,105
-956,-240,116
-1816,895,72
-1390,609,-193
-1333,-1262,79
-1500,-378,178
-1102,226,-103
-1558,-460,396
-307,-173,-47
-1134,640,-127
-224,253,59
-590,-736,-52
345,140,-273
138,-490,-5
547,-972,319
748,-904,401
1273,230,-113
1030,-22,181
387,4,27
1164,-917,57
1521,-147,253
1367,-830,170
1719,-741,31
1739,-132,-186
1295,-1107,-225
759,535,-13
1453,1990,65
1165,367,101
528,-834,156
1010,-217,196
23,-1244,-481
-468,-302,181
-425,406,-209
-295,472,223
-1121,-825,67
-453,239,126
-1475,925,-108
-1053,1404,57
-1271,-561,-373
-1534,-691,219
-1174,44,-66
-1916,-2342,-518
-985,-425,212
-1296,-217,335
-1289,-367,-175
-718,-1267,243
-414,-196,-150
-269,-621,-453
346,606,-72
324,-735,65
639,-226,27
338,-186,21
763,454,6059
1111,-2037,43
1121,-272,-43
1368,608,-120
1520,-289,-53
1720,-1222,-70
1468,261,-61
1383,269,-221
1186,-216,-109
1072,-928,6016
1558,-593,62
1013,-251,-13
1076,-700,-37
229,-1536,107
-203,-615,163
-188,-49,136
217,-406,5650
-58,-60,-91
-518,67,141
-1081,717,103
-1077,1763,136
-1295,585,63
-1443,-1123,-171
-2186,-2126,245
-1745,-76,-272
-1556,57,197
-1011,-929,-3
-1344,218,-295
-857,-614,-79
-1244,322,241
-1018,-260,-118
-1901,318,-242
-361,-1395,-58
-89,-351,-164
529,-119,-250
107,-1140,88
528,1506,160
520,-433,-110
589,1112,105
912,-531,-77
1174,-184,5980
1798,947,25
1467,243,299
1261,154,102
1530,213,-200
1500,-1093,103
1137,-312,-44
1549,-765,-93
471,158,-168
776,-435,-5
817,-35,-12
-24,-62,-80
236,-29,-278
261,-28,-341
-242,-522,26
-1125,-843,36
-1058,-531,437
-668,857,-36
-1116,299,204
-1342,470,239
-1302,1104,-12
-1272,-944,15
-1711,408,-86
-1553,-860,355
-1349,-267,-302
